Name,0_to_4,5_to_9,10_to_14,15_to_19,20_to_24,25_to_29,30_to_34,35_to_39,40_to_44,45_to_49,50_to_54,55_to_59,60_to_64,65_to_69,70_to_74,75_to_79,80_to_84,85_to_89,90_and_over,0_to_24,25_to_64,65_and_over
NEWTON,410,550,470,350,370,400,490,590,770,820,660,570,450,390,330,170,100,70,40,2150,4750,1100
NORTH-EASTERN ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOVENA,2140,2900,2550,2300,2440,2900,3200,3760,4280,4400,3610,3370,3090,2680,2090,1530,1060,670,420,12330,28610,8450
ORCHARD,50,40,50,30,30,30,50,90,100,90,70,70,50,70,40,30,10,0,0,200,550,150
OUTRAM,670,880,740,600,680,1010,1080,1370,1620,1420,1310,1450,1520,1430,1180,810,620,330,330,3570,10780,4700
PASIR RIS,5930,6670,7930,10090,13170,12730,8930,9230,10090,11160,13850,13490,9640,6350,3790,2280,1530,860,490,43790,89120,15300
PAYA LEBAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIONEER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNGGOL,16880,14730,10850,8210,6410,8880,18640,21770,16680,12950,8870,7560,6160,5110,3410,1880,1110,540,280,57080,101510,12330
QUEENSTOWN,4200,4240,4240,4140,4790,5900,6860,7340,7370,7540,6930,6810,6270,5720,4980,3750,2950,1590,850,21610,55020,19840
RIVER VALLEY,490,600,550,510,440,550,630,900,1040,1100,840,660,560,480,380,190,130,70,60,2590,6280,1310
ROCHOR,350,450,500,530,590,750,890,970,1120,1050,940,960,1010,950,700,470,320,160,150,2420,7690,2750
SELETAR,10,20,20,20,20,0,0,10,20,50,30,20,20,20,0,0,0,0,0,90,150,20
SEMBAWANG,5600,5690,6250,6240,5570,7200,8010,8140,8420,8340,6960,6310,5010,3420,1990,1360,840,490,230,29350,58390,8330
SENGKANG,17370,17260,15360,13620,12720,14440,22460,24820,21940,19410,15540,14730,12990,9290,5910,3410,1950,1050,640,76330,146330,22250
SERANGOON,3520,4350,5320,6390,7770,9400,7630,6740,7220,8390,8640,9690,10080,8130,5480,3340,2350,1320,730,27350,67790,21350
SIMPANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SINGAPORE RIVER,220,200,160,110,80,110,180,340,410,360,210,180,130,80,80,40,20,10,20,770,1920,250
SOUTHERN ISLANDS,120,110,110,90,90,70,80,160,190,250,190,180,110,70,40,20,0,0,0,520,1230,130
STRAITS VIEW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUNGEI KADUT,20,40,20,40,50,60,40,40,40,50,50,50,50,40,40,30,30,10,0,170,380,150
TAMPINES,11320,11180,12060,14000,18570,21460,18720,17930,16650,17420,19440,21980,20930,15230,9010,4960,3290,1850,1020,67130,154530,35360
TANGLIN,1110,1580,1330,1100,990,1050,1220,1650,2100,2090,1740,1460,1210,1100,830,500,320,190,140,6110,12520,3080
TENGAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOA PAYOH,4270,5030,5270,5650,6390,8070,7670,8070,8810,9500,8940,9340,9160,7790,6130,4750,3360,1830,1030,26610,69560,24890
TUAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WESTERN ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WESTERN WATER CATCHMENT,40,40,30,30,140,40,40,70,70,40,40,60,30,10,0,0,0,0,0,280,390,10
WOODLANDS,11610,12830,14880,18280,21400,20220,17880,17930,18280,20890,22040,19670,15230,10180,6120,3610,2250,1150,550,79000,152140,23860
YISHUN,12110,11270,11010,11650,13160,17420,18650,17940,15780,15780,15880,17790,15310,11510,6990,4120,2520,1230,690,59200,134550,27060
