Subzone,0_to_24,25_to_64,65_and_over,total_population,nursinghome_count,Name,latitude,longitude,within_coverage
SERANGOON NORTH IND ESTATE,0,0,0,0,0.0,SERANGOON,1.3747844872468526,103.86475852620724,1.0
UPPER PAYA LEBAR,3720,9680,2840,16240,0.0,SERANGOON,1.346566792752161,103.87704728900646,0.0
PULAU SELETAR,0,0,0,0,0.0,SIMPANG,1.4435442692360003,103.86486849804359,0.0
SIMPANG NORTH,0,0,0,0,0.0,SIMPANG,1.4471614022534962,103.8457975610965,0.0
SIMPANG SOUTH,0,0,0,0,0.0,SIMPANG,1.4344660434536856,103.85639359721195,0.0
TANJONG IRAU,0,0,0,0,0.0,SIMPANG,1.4542416000311682,103.8509278783732,0.0
BOAT QUAY,0,50,20,70,0.0,SINGAPORE RIVER,1.2873546005852372,103.84818906067447,1.0
CLARKE QUAY,0,50,10,60,0.0,SINGAPORE RIVER,1.2895993359817075,103.844579165023,1.0
ROBERTSON QUAY,770,1820,220,2810,0.0,SINGAPORE RIVER,1.2912859643452426,103.83706413069638,1.0
SENTOSA,520,1230,130,1880,0.0,SOUTHERN ISLANDS,1.2497212934092308,103.82967001211638,0.0
SOUTHERN GROUP,0,0,0,0,0.0,SOUTHERN ISLANDS,1.2280095349119813,103.849627530973,0.0
STRAITS VIEW,0,0,0,0,0.0,STRAITS VIEW,1.2712516579817823,103.85877319079913,0.0
GALI BATU,0,0,0,0,0.0,SUNGEI KADUT,1.3999884275573329,103.76291533595848,0.0
KRANJI,0,0,0,0,0.0,SUNGEI KADUT,1.43432801422544,103.75933586744513,0.0
PANG SUA,0,0,0,0,0.0,SUNGEI KADUT,1.4126204685525516,103.74827249411936,0.0
RESERVOIR VIEW,0,0,0,0,0.0,SUNGEI KADUT,1.431742289225005,103.74675859319734,0.0
TURF CLUB,170,380,150,700,0.0,SUNGEI KADUT,1.4187806573770425,103.76353957699631,0.0
SIMEI,10270,24300,5590,40160,1.0,TAMPINES,1.340674169306039,103.95400459845713,1.0
TAMPINES EAST,34260,79780,18860,132900,1.0,TAMPINES,1.3544351197912252,103.9512330650588,1.0
TAMPINES NORTH,700,1500,250,2450,1.0,TAMPINES,1.3662446769728658,103.93902566060885,1.0
TAMPINES WEST,21440,47870,10470,79780,0.0,TAMPINES,1.3485286824681757,103.93594925011894,0.0
XILIN,460,1080,190,1730,0.0,TAMPINES,1.3292470134760157,103.9690957006831,0.0
CHATSWORTH,1740,4120,890,6750,0.0,TANGLIN,1.2970346149764151,103.82340226514931,0.0
NASSIM,2970,5390,1310,9670,0.0,TANGLIN,1.313860842983826,103.82435727593666,0.0
RIDOUT,370,830,290,1490,0.0,TANGLIN,1.3034342756816626,103.81146870027004,1.0
TYERSALL,1030,2180,590,3800,0.0,TANGLIN,1.3145867397447542,103.81294533398173,0.0
TENGAH,0,0,0,0,0.0,TENGAH,1.3638425412100137,103.72875396412908,0.0
BIDADARI,0,0,0,0,0.0,TOA PAYOH,1.3411039352772471,103.87494471086491,0.0
BOON TECK,3060,7890,3310,14260,1.0,TOA PAYOH,1.3352686405858534,103.85302516005659,1.0
BRADDELL,2290,5590,2070,9950,0.0,TOA PAYOH,1.3405389638275886,103.84959688929008,1.0
JOO SENG,1960,4880,1430,8270,0.0,TOA PAYOH,1.3365974649982233,103.88232655359732,0.0
KIM KEAT,1610,4730,1720,8060,0.0,TOA PAYOH,1.3318876169164924,103.85863635883535,1.0
LORONG 8 TOA PAYOH,1400,4130,1900,7430,0.0,TOA PAYOH,1.3408789666307903,103.85710204170559,1.0
PEI CHUN,2260,6000,2310,10570,0.0,TOA PAYOH,1.336789937323607,103.85860695508974,1.0
POTONG PASIR,2350,6880,2450,11680,0.0,TOA PAYOH,1.333056041234708,103.86563786102356,0.0
SENNETT,1330,3070,1080,5480,0.0,TOA PAYOH,1.3332557167635657,103.87362325469034,0.0
TOA PAYOH CENTRAL,6870,16540,4960,28370,1.0,TOA PAYOH,1.3326410451810136,103.84598592625916,1.0
TOA PAYOH WEST,2770,8400,3400,14570,1.0,TOA PAYOH,1.339922568730445,103.84179372149488,1.0
WOODLEIGH,710,1450,260,2420,0.0,TOA PAYOH,1.3400358950283846,103.86630000618099,0.0
TENGEH,0,0,0,0,0.0,TUAS,1.3376392233048688,103.65179360074644,0.0
TUAS BAY,0,0,0,0,0.0,TUAS,1.3183378369087373,103.64391467350755,0.0
TUAS NORTH,0,0,0,0,0.0,TUAS,1.3267459168993996,103.65124507128135,0.0
TUAS PROMENADE,0,0,0,0,0.0,TUAS,1.3319853868051372,103.63490868648455,0.0
TUAS VIEW,0,0,0,0,0.0,TUAS,1.3011545125066561,103.6334252812054,0.0
TUAS VIEW EXTENSION,0,0,0,0,0.0,TUAS,1.2526479960488703,103.62749213879565,0.0
JURONG ISLAND AND BUKOM,0,0,0,0,0.0,WESTERN ISLANDS,1.2624920587970117,103.69865464772457,0.0
SEMAKAU,0,0,0,0,0.0,WESTERN ISLANDS,1.2013592478974648,103.77227672153116,0.0
SUDONG,0,0,0,0,0.0,WESTERN ISLANDS,1.1933384258004878,103.72488442719894,0.0
WESTERN WATER CATCHMENT,280,390,10,680,0.0,WESTERN WATER CATCHMENT,1.3821296307204034,103.68972952366337,0.0
GREENWOOD PARK,0,0,0,0,0.0,WOODLANDS,1.4472946502904125,103.78486956934988,1.0
MIDVIEW,11540,20970,3010,35520,1.0,WOODLANDS,1.439888497229339,103.79153165900286,1.0
NORTH COAST,2900,7340,2180,12420,0.0,WOODLANDS,1.4506541557133674,103.7807237716492,0.0
SENOKO WEST,0,0,0,0,0.0,WOODLANDS,1.451171666838036,103.79666957611444,0.0
WOODGROVE,10190,20730,3320,34240,1.0,WOODLANDS,1.4292793762473717,103.77855190423112,1.0
WOODLANDS EAST,31690,59340,7590,98620,1.0,WOODLANDS,1.4412498743893232,103.80192730620671,1.0
WOODLANDS REGIONAL CENTRE,0,0,0,0,0.0,WOODLANDS,1.4386019835865211,103.78453565521777,1.0
WOODLANDS SOUTH,13880,23890,3260,41030,0.0,WOODLANDS,1.4295043128506493,103.79386650851815,0.0
WOODLANDS WEST,8800,19870,4500,33170,0.0,WOODLANDS,1.437463646467215,103.77565198979605,1.0
KHATIB,2240,6510,1700,10450,0.0,YISHUN,1.4179994217355665,103.82865163000652,0.0
LOWER SELETAR,6440,10630,820,17890,0.0,YISHUN,1.4090584596454154,103.84623681429859,0.0
NEE SOON,240,560,140,940,0.0,YISHUN,1.4075162725411403,103.81464351543516,0.0
NORTHLAND,7090,17610,3880,28580,0.0,YISHUN,1.4380947108249575,103.83799650423045,1.0
SPRINGLEAF,1170,2420,730,4320,0.0,YISHUN,1.401409100409199,103.82406069408049,0.0
YISHUN CENTRAL,470,1280,270,2020,0.0,YISHUN,1.4267052451393405,103.83765941126501,1.0
YISHUN EAST,18330,36020,5340,59690,0.0,YISHUN,1.427902454668356,103.84658719001189,0.0
YISHUN SOUTH,10200,26060,5800,42060,1.0,YISHUN,1.4184605129756964,103.83781643508446,1.0
YISHUN WEST,13020,33460,8380,54860,2.0,YISHUN,1.4311390382324092,103.83101159003185,1.0
